state,date,year,month,day_name,day_of_week,is_weekend,pm25,temp_max,temp_min,temp_mean,electricity_mwh,green_percentage,electricity_scaled,pm25_norm,green_norm,temp_norm,electricity_norm,QoL,season
Carolinas,2025-07-16,2025,7,Wednesday,2,0,12.741666666666667,32.5,23.5,26.5,800262.0,89.30824295153509,80.0262,0.07570477779062279,0.9208794347877436,0.8361344537815126,0.36013642635415005,0.8935222839999992,Summer
Carolinas,2025-07-17,2025,7,Thursday,3,0,8.895833333333334,33.0,24.1,27.7,818357.0,89.30824295153509,81.8357,0.05283975491734241,0.9208794347877436,0.8613445378151261,0.3724598832149001,0.9150656522661116,Summer
Carolinas,2025-07-18,2025,7,Friday,4,0,9.304166666666667,33.8,24.9,28.5,827179.0,89.30824295153509,82.7179,0.05526746048785322,0.9208794347877436,0.8781512605042018,0.37846803665096185,0.9180412362708126,Summer
Carolinas,2025-07-19,2025,7,Saturday,5,1,9.641666666666667,32.6,24.3,27.3,795008.0,89.30824295153509,79.5008,0.05727403345939787,0.9208794347877436,0.8529411764705883,0.3565582311429657,0.911965734363327,Summer
Carolinas,2025-07-20,2025,7,Sunday,6,1,9.1375,34.2,24.0,28.1,805638.0,89.30824295153509,80.5638,0.05427656025499166,0.9208794347877436,0.8697478991596641,0.3637977087019474,0.9183450734685431,Summer
Carolinas,2025-07-21,2025,7,Monday,0,0,7.649999999999999,34.2,24.9,29.0,847470.0,89.30824295153509,84.747,0.04543277567670228,0.9208794347877436,0.888655462184874,0.39228706197074514,0.9257781697589671,Summer
Carolinas,2025-07-22,2025,7,Tuesday,1,0,5.045833333333333,33.0,23.5,27.8,790085.0,89.30824295153509,79.0085,0.029949959538240496,0.9208794347877436,0.8634453781512607,0.3532054608680018,0.9341909824637616,Summer
Carolinas,2025-07-23,2025,7,Wednesday,2,0,4.304166666666666,33.0,20.0,26.4,761551.0,89.30824295153509,76.1551,0.025540453502006573,0.9208794347877436,0.8340336134453783,0.3337726054900166,0.9305738405032135,Summer
Carolinas,2025-07-24,2025,7,Thursday,3,0,4.579166666666667,33.5,21.5,27.2,784996.0,89.30824295153509,78.4996,0.02717543888622814,0.9208794347877436,0.8508403361344539,0.34973963760387594,0.9324206814685272,Summer
Carolinas,2025-07-25,2025,7,Friday,4,0,5.2,35.2,24.1,29.4,833004.0,89.30824295153509,83.3004,0.030866542253637434,0.9208794347877436,0.8970588235294119,0.38243510690317895,0.9398997025369414,Summer
Carolinas,2025-07-26,2025,7,Saturday,5,1,5.6125,36.7,25.8,31.0,846016.0,89.30824295153509,84.6016,0.03331902032996978,0.9208794347877436,0.930672268907563,0.3912968267524235,0.9479737194586063,Summer
Carolinas,2025-07-27,2025,7,Sunday,6,1,5.204166666666667,33.5,25.3,29.5,855483.0,89.30824295153509,85.5483,0.03089131475945897,0.9208794347877436,0.8991596638655462,0.39774425234516847,0.9380362192472226,Summer
