period,respondent,respondent-name,type,type-name,timezone,timezone-description,value,value-units
2025-10-29,TEX,Texas,D,Demand,Central,Central,1103008,megawatthours
2025-10-28,CAL,California,D,Demand,Central,Central,731826,megawatthours
2025-10-28,CAR,Carolinas,D,Demand,Central,Central,573071,megawatthours
2025-10-28,FLA,Florida,D,Demand,Central,Central,689582,megawatthours
2025-10-28,NY,New York,D,Demand,Central,Central,372598,megawatthours
2025-10-28,TEN,Tennessee,D,Demand,Central,Central,389899,megawatthours
2025-10-28,TEX,Texas,D,Demand,Central,Central,1284812,megawatthours
2025-10-27,CAL,California,D,Demand,Central,Central,713837,megawatthours
2025-10-27,CAR,Carolinas,D,Demand,Central,Central,555905,megawatthours
2025-10-27,FLA,Florida,D,Demand,Central,Central,753531,megawatthours
2025-10-27,NY,New York,D,Demand,Central,Central,368108,megawatthours
2025-10-27,TEN,Tennessee,D,Demand,Central,Central,393200,megawatthours
2025-10-27,TEX,Texas,D,Demand,Central,Central,1275594,megawatthours
2025-10-26,CAL,California,D,Demand,Central,Central,656096,megawatthours
2025-10-26,CAR,Carolinas,D,Demand,Central,Central,501598,megawatthours
2025-10-26,FLA,Florida,D,Demand,Central,Central,711611,megawatthours
2025-10-26,NY,New York,D,Demand,Central,Central,335269,megawatthours
2025-10-26,TEN,Tennessee,D,Demand,Central,Central,360595,megawatthours
2025-10-26,TEX,Texas,D,Demand,Central,Central,1182740,megawatthours
2025-10-25,CAL,California,D,Demand,Central,Central,682929,megawatthours
2025-10-25,CAR,Carolinas,D,Demand,Central,Central,504593,megawatthours
2025-10-25,FLA,Florida,D,Demand,Central,Central,684294,megawatthours
2025-10-25,NY,New York,D,Demand,Central,Central,341728,megawatthours
2025-10-25,TEN,Tennessee,D,Demand,Central,Central,365853,megawatthours
2025-10-25,TEX,Texas,D,Demand,Central,Central,1186791,megawatthours
2025-10-24,CAL,California,D,Demand,Central,Central,711587,megawatthours
2025-10-24,CAR,Carolinas,D,Demand,Central,Central,521639,megawatthours
2025-10-24,FLA,Florida,D,Demand,Central,Central,686466,megawatthours
2025-10-24,NY,New York,D,Demand,Central,Central,363102,megawatthours
2025-10-24,TEN,Tennessee,D,Demand,Central,Central,387280,megawatthours
2025-10-24,TEX,Texas,D,Demand,Central,Central,1296458,megawatthours
2025-10-23,CAL,California,D,Demand,Central,Central,717893,megawatthours
2025-10-23,CAR,Carolinas,D,Demand,Central,Central,527965,megawatthours
2025-10-23,FLA,Florida,D,Demand,Central,Central,708369,megawatthours
2025-10-23,NY,New York,D,Demand,Central,Central,366377,megawatthours
2025-10-23,TEN,Tennessee,D,Demand,Central,Central,389044,megawatthours
