state,date,year,month,day_name,day_of_week,is_weekend,pm25,temp_max,temp_min,temp_mean,electricity_mwh,green_percentage,electricity_scaled,pm25_norm,green_norm,temp_norm,QoL,electricity_norm
Tennessee,2024-05-29,2024,5,Wednesday,2,0,6.452222222222222,22.1,10.4,16.6,437001.0,80.12409280562429,43.7001,0.03831150600320391,0.8184546569918701,0.6982758620689655,0.8589372781129446,0.11274039083644229
Tennessee,2024-05-30,2024,5,Thursday,3,0,6.211203703703704,23.8,11.6,17.6,425440.0,80.12409280562429,42.544,0.03687855416646023,0.8184546569918701,0.7155172413793104,0.8673161294661366,0.10486686307920928
Tennessee,2024-05-31,2024,5,Friday,4,0,5.970185185185185,25.2,14.6,19.7,415692.0,80.12409280562429,41.5692,0.03544560232971655,0.8184546569918701,0.7517241379310344,0.882088931218289,0.09822806465541313
Tennessee,2024-06-01,2024,6,Saturday,5,1,5.729166666666666,25.0,16.0,19.9,384905.0,93.05588804891342,38.4905,0.03401265049297286,0.9626744523188624,0.7551724137931034,0.9633290249077424,0.07726082141850174
Tennessee,2024-06-02,2024,6,Sunday,6,1,5.488148148148149,26.2,13.1,19.5,425005.0,93.05588804891342,42.5005,0.03257969865622919,0.9626744523188624,0.7482758620689655,0.9571659804652157,0.10457060976423685
Tennessee,2024-06-03,2024,6,Monday,0,0,5.2471296296296295,30.6,17.5,23.1,474031.0,93.05588804891342,47.4031,0.031146746819485503,0.9626744523188624,0.8103448275862069,0.9739767880584579,0.1379593799247857
Tennessee,2024-06-04,2024,6,Tuesday,1,0,5.006111111111111,28.1,20.7,23.5,474719.0,93.05588804891342,47.4719,0.029713794982741824,0.9626744523188624,0.8172413793103448,0.9772971599778172,0.13842793689191454
Tennessee,2024-06-05,2024,6,Wednesday,2,0,4.765092592592593,26.3,18.2,22.4,486710.0,93.05588804891342,48.671,0.028280843145998144,0.9626744523188624,0.7982758620689655,0.9702638725026957,0.14659431275360305
Tennessee,2024-06-06,2024,6,Thursday,3,0,4.524074074074075,25.5,16.3,21.6,496183.0,93.05588804891342,49.6183,0.026847891309254465,0.9626744523188624,0.7844827586206896,0.9653318611538645,0.15304582459896834
Tennessee,2024-06-07,2024,6,Friday,4,0,4.283055555555556,27.6,14.3,20.9,462166.0,93.05588804891342,46.2166,0.02541493947251078,0.9626744523188624,0.7724137931034483,0.9661613960592279,0.12987881536812368
Tennessee,2024-06-08,2024,6,Saturday,5,1,4.042037037037038,29.0,19.0,22.6,429117.0,93.05588804891342,42.9117,0.023981987635767102,0.9626744523188624,0.8017241379310345,0.9812958946330866,0.10737105489335562
Tennessee,2024-06-09,2024,6,Sunday,6,1,3.801018518518519,26.4,13.4,20.2,442607.0,93.05588804891342,44.2607,0.022549035799023415,0.9626744523188624,0.7603448275862068,0.9662739872924861,0.11655831286801813
Tennessee,2024-06-10,2024,6,Monday,0,0,3.56,23.5,13.9,18.8,450439.0,93.05588804891342,45.0439,0.021116083962279732,0.9626744523188624,0.7362068965517242,0.9579317466897187,0.12189223462172878
